Less than 5:
Object Name: allowed_tenant, Limit: 5, Usage: 1, Difference: 4
Object Name: network_policy_rule, Limit: 400, Usage: 8, Difference: 392
Object Name: network_policy_set, Limit: 300, Usage: 2, Difference: 298
Object Name: nfv_service, Limit: 10, Usage: -1, Difference: 11
Object Name: ocsp_response, Limit: 50, Usage: -1, Difference: 51
Object Name: oidc_provider, Limit: 1, Usage: 1, Difference: 0
Object Name: operate, Limit: 10, Usage: -1, Difference: 11
Object Name: persistentvolumeclaims_per_vk8s, Limit: 25, Usage: -1, Difference: 26
Object Name: policer, Limit: 50, Usage: 0, Difference: 50
Object Name: protocol_inspection, Limit: 100, Usage: 0, Difference: 100
Object Name: protocol_policer, Limit: 25, Usage: 0, Difference: 25
Object Name: public_ip, Limit: 260, Usage: 256, Difference: 4
Object Name: rate_limiter, Limit: 300, Usage: 0, Difference: 300
Object Name: rate_limiter_policy, Limit: 50, Usage: 0, Difference: 50
Object Name: rate_limiter_policy_rules, Limit: 100, Usage: -1, Difference: 101
Object Name: report_config, Limit: 20, Usage: 0, Difference: 20
Object Name: role, Limit: 25, Usage: 0, Difference: 25
Object Name: route, Limit: 500, Usage: 112, Difference: 388
Object Name: secret_management, Limit: 60, Usage: 0, Difference: 60
Object Name: secret_management_access, Limit: 100, Usage: 0, Difference: 100
Object Name: secret_policy, Limit: 100, Usage: 4, Difference: 96
Object Name: secret_policy_rule, Limit: 200, Usage: 0, Difference: 200
Object Name: secret_policy_set, Limit: 50, Usage: -1, Difference: 51
Object Name: secrets_per_vk8s, Limit: 25, Usage: -1, Difference: 26
Object Name: secureshare_admin_policy, Limit: 1, Usage: 0, Difference: 1
Object Name: service_policy, Limit: 500, Usage: 88, Difference: 412
Object Name: service_policy_rule, Limit: 1000, Usage: 103, Difference: 897
Object Name: service_policy_set, Limit: 500, Usage: 43, Difference: 457
Object Name: serviceaccounts_per_vk8s, Limit: 5, Usage: -1, Difference: 6
Object Name: services_per_vk8s, Limit: 25, Usage: -1, Difference: 26
Object Name: shape_safe_analyst_station, Limit: 1, Usage: 0, Difference: 1
Object Name: signup, Limit: 20, Usage: 0, Difference: 20
Object Name: site, Limit: 1000, Usage: 17, Difference: 983
Object Name: site_mesh_group, Limit: 100, Usage: 4, Difference: 96
Object Name: srv6_network_slice, Limit: 50, Usage: 0, Difference: 50
Object Name: statefulsets_per_vk8s, Limit: 25, Usage: -1, Difference: 26
Object Name: status_at_site, Limit: 10, Usage: 0, Difference: 10
Object Name: stored_object, Limit: 1725, Usage: 0, Difference: 1725
Object Name: subnet, Limit: 64, Usage: -1, Difference: 65
Object Name: tenant_profile, Limit: 10, Usage: 0, Difference: 10
Object Name: timeseries, Limit: 50, Usage: 0, Difference: 50
Object Name: token, Limit: 50, Usage: 6, Difference: 44
Object Name: total_containers_per_regional_edge, Limit: 25, Usage: 0, Difference: 25
Object Name: tpm_api_key, Limit: 20, Usage: 0, Difference: 20
Object Name: tpm_category, Limit: 20, Usage: 0, Difference: 20
Object Name: tpm_manager, Limit: 20, Usage: 0, Difference: 20
Object Name: trusted_ca_list, Limit: 300, Usage: 0, Difference: 300
Object Name: tunnel, Limit: 200, Usage: 20, Difference: 180
Object Name: usb_policy, Limit: 50, Usage: -1, Difference: 51
Object Name: user, Limit: 400, Usage: 27, Difference: 373
Object Name: user_group, Limit: 400, Usage: 6, Difference: 394
Object Name: user_identification, Limit: 100, Usage: 1, Difference: 99
Object Name: v1_dns_monitor, Limit: 500, Usage: 0, Difference: 500
Object Name: v1_http_monitor, Limit: 500, Usage: 0, Difference: 500
Object Name: virtual_host, Limit: 150, Usage: 111, Difference: 39
Object Name: virtual_k8s, Limit: 50, Usage: 5, Difference: 45
Object Name: virtual_network, Limit: 200, Usage: 36, Difference: 164
Object Name: virtual_site, Limit: 100, Usage: 29, Difference: 71
Object Name: voltshare_admin_policy, Limit: 1, Usage: 0, Difference: 1
Object Name: waf_suppression_rule, Limit: 150, Usage: -1, Difference: 151
Object Name: workload_flavor, Limit: 10, Usage: -1, Difference: 11

